SR_no,ATM ID,SD & T,ED &T
315,S1ACAB85,43459.79722,43460.60903
316,S1ACAB85,43461.59444,43461.75903
317,S1ACAB86,43451.56111,43451.8625
318,S1ACAB86,43458.45139,43458.78958
319,S1ACAB86,43459.90208,43460.6125
320,S1ACAD50,43443.77222,43443.84514
321,S1ACAD50,43455.65417,43455.89792
322,S1ACAD50,43456.54514,43456.6
323,S1ACAG47,43461.59306,43461.65069
324,S1ACAJ02,43437.57083,43437.90972
325,S1ACAJ02,43438.83264,43439.40139
326,S1ACAJ02,43455.15694,43455.25556
327,S1ACAJ02,43457.01181,43457.14306
328,S1ACAJ02,43459.79306,43460.57083
329,S1ACAJ02,43465.45833,43465.50764
330,S1ACAK12,43436.51597,43436.63958
331,S1ACAK12,43436.63958,43439.47361
332,S1ACAK12,43454.72431,43454.87569
333,S1ACAK13,43446.52014,43446.62986
334,S1ACAK13,43453.51944,43453.57847
335,S1ACAL02,43446.23542,43446.39236
336,S1ACAM01,43444.6125,43445.44236
337,S1ACAM01,43445.44236,43445.54167
338,S1ACAM01,43445.73472,43445.84514
339,S1ACAM02,43439.53264,43439.70625
340,S1ACAM02,43441.50208,43441.65486
341,S1ACAM02,43441.65556,43445.63611
342,S1ACAM02,43445.67014,43445.83264
343,S1ACAM02,43451.66667,43451.70903
344,S1ACAM14,43450.57708,43451.52847
345,S1ACAM14,43451.52569,43451.72917
346,S1ACAM92,43445.5875,43445.68403
347,S1ACAM92,43449.52569,43449.68542
348,S1ACAM92,43455.51597,43455.65
349,S1ACAM92,43460.51597,43460.62778
350,S1ACAU01,43455.15694,43455.25694
351,S1ACAU01,43457.0125,43457.14306
352,S1ACAU01,43457.75694,43458.62708
353,S1ACAU01,43458.57083,43458.62708
354,S1ACAU51,43446.5875,43446.76319
355,S1ACAU51,43453.47847,43453.63542
356,S1ACAU51,43455.70278,43455.85625
357,S1ACAU51,43459.45,43460.59583
358,S1ACAU52,43446.55486,43446.71806
359,S1ACAU52,43446.64028,43446.71667
360,S1ACAU52,43449.82361,43451.65069
361,S1ACAU52,43455.70347,43455.78056
362,S1ACAU52,43459.52569,43460.59236
363,S1ACAU52,43465.51319,43465.55764
364,S1ACAV48,43446.86042,43447.46667
365,S1ACAV48,43460.60833,43460.66875
366,S1ACAV48,43463.1375,43463.40139
367,S1ACBA04,43442.63125,43442.76389
368,S1ACBA04,43448.10556,43448.30417
369,S1ACBA04,43451.76458,43452.25694
370,S1ACBA04,43452.26528,43453.36111
371,S1ACBA04,43453.36181,43453.55556
372,S1ACBA04,43453.56667,43462.81111
373,S1ACBA04,43463.06042,43463.11736
374,S1ACBA04,43463.54653,43463.59722
375,S1ACBA04,43464.32014,43464.39861
376,S1ACBA77,43454.01458,43454.37361
377,S1ACBA77,43462.31528,43462.38681
378,S1ACBA86,43436.71806,43436.81319
379,S1ACBA86,43436.85069,43437.39861
380,S1ACBA86,43438.21111,43438.375
381,S1ACBA86,43438.375,43439.39236
382,S1ACBA86,43439.39236,43439.46111
383,S1ACBA86,43440.83958,43441.37569
384,S1ACBA86,43441.84028,43442.35
385,S1ACBA86,43442.83542,43443.37083
386,S1ACBA86,43443.78472,43444.35972
387,S1ACBA86,43444.8375,43445.36111
388,S1ACBA86,43445.83819,43446.35833
389,S1ACBA86,43446.83819,43447.3625
390,S1ACBA86,43447.83958,43448.34236
391,S1ACBA86,43448.83611,43449.40486
392,S1ACBA86,43449.8375,43450.48125
393,S1ACBA86,43450.60903,43450.66597
394,S1ACBA86,43450.83889,43451.36528
395,S1ACBA86,43451.83889,43452.41181
396,S1ACBA86,43452.83819,43453.42778
397,S1ACBA86,43453.83819,43454.37917
398,S1ACBA86,43454.83681,43455.40972
399,S1ACBA86,43455.83681,43456.36806
400,S1ACBA86,43456.76806,43456.81458
401,S1ACBA86,43456.83472,43457.37153
402,S1ACBA86,43457.84167,43458.38472
403,S1ACBA86,43458.83889,43459.36528
404,S1ACBA86,43459.38333,43459.51111
405,S1ACBA86,43459.57778,43459.63472
406,S1ACBA86,43459.72153,43460.35972
407,S1ACBA86,43460.8375,43461.36389
408,S1ACBA86,43461.83681,43462.36319
409,S1ACBA86,43462.83958,43463.42917
410,S1ACBA86,43463.83819,43464.63333
411,S1ACBA86,43464.83125,43465.41181
412,S1ACBA86,43465.77778,43466.37083
413,S1ACBA86,43465.8375,43466.37083
414,S1ACBA90,43455.15764,43455.25903
415,S1ACBA90,43457.0125,43457.15556
416,S1ACBA90,43460.50139,43460.58264
417,S1ACBA90,43462.75903,43462.85417
418,S1ACBA90,43462.77361,43462.875
419,S1ACBA90,43463.63819,43463.83125
420,S1ACBA90,43463.83125,43464.57778
421,S1ACBA90,43464.04861,43464.34583
422,S1ACBB05,43449.49375,43449.54236
423,S1ACBB05,43456.81181,43457.40347
424,S1ACBB05,43457.44583,43457.52778
425,S1ACBB05,43458.38056,43458.58681
426,S1ACBB05,43458.72222,43459.02639
427,S1ACBB05,43459.17569,43459.64722
428,S1ACBB05,43459.65278,43460.58333
429,S1ACBD04,43443.75486,43444.42222
430,S1ACBD04,43451.49097,43451.575
431,S1ACBD05,43440.50903,43440.62083
432,S1ACBD05,43440.62083,43441.51458
433,S1ACBD05,43446.54375,43446.61111
434,S1ACBD05,43446.61111,43446.89931
435,S1ACBD08,43436.46736,43436.64097
436,S1ACBD08,43436.55069,43436.6125
437,S1ACBD08,43438.35347,43438.43333
438,S1ACBD08,43438.43333,43439.41597
439,S1ACBD08,43439.75139,43439.81528
440,S1ACBD08,43441.675,43441.74653
441,S1ACBD08,43442.54306,43442.66944
442,S1ACBD08,43446.3,43446.67708
443,S1ACBD08,43446.80764,43446.88472
444,S1ACBD08,43446.88472,43447.79028
445,S1ACBD08,43447.49236,43447.53681
446,S1ACBD08,43447.80347,43448.72083
447,S1ACBD08,43448.75556,43448.86319
448,S1ACBD08,43448.86319,43450.56181
449,S1ACBD08,43450.98333,43451.56944
450,S1ACBD08,43457.55556,43457.61667
451,S1ACBD08,43457.62083,43457.69722
452,S1ACBD08,43457.62917,43457.69722
453,S1ACBD08,43459.54722,43459.68542
454,S1ACBD17,43435.78056,43435.84583
455,S1ACBD17,43440.11528,43440.225
456,S1ACBD17,43451.48889,43451.76319
457,S1ACBD17,43451.94028,43452.01806
458,S1ACBD17,43455.15694,43455.25625
459,S1ACBD17,43456.69167,43456.73889
460,S1ACBD17,43457.0125,43457.14653
461,S1ACBD17,43460.61389,43463.71528
462,S1ACBD17,43463.73403,43463.82917
463,S1ACBD17,43465.10694,43465.19931
464,S1ACBD38,43439.54375,43439.975
465,S1ACBD38,43439.65694,43439.70694
466,S1ACBD38,43441.77917,43441.96944
467,S1ACBD58,43448.00278,43448.07361
468,S1ACBD58,43455.15694,43455.25556
469,S1ACBD58,43457.0125,43457.14444
470,S1ACBE02,43440.175,43440.22431
471,S1ACBE02,43440.74653,43440.82014
472,S1ACBE02,43445.50556,43445.56181
473,S1ACBE02,43445.6625,43445.73333
474,S1ACBE02,43449.475,43449.52014
475,S1ACBE02,43452.65486,43452.73611
476,S1ACBE02,43455.15694,43455.25486
477,S1ACBE02,43457.0125,43457.14306
478,S1ACBE02,43458.46806,43458.51458
479,S1ACBE02,43461.44931,43461.51875
480,S1ACBE02,43465.52847,43465.57222
481,S1ACBE08,43435.28333,43435.52986
482,S1ACBE08,43435.53056,43435.67569
483,S1ACBE08,43439.50694,43439.55486
484,S1ACBE08,43439.62639,43440.37292
485,S1ACBE08,43440.37292,43440.54722
486,S1ACBE08,43440.67222,43440.72361
487,S1ACBE08,43465.44861,43465.50417
488,S1ACBE19,43435.37986,43435.53403
489,S1ACBE19,43436.31181,43436.35417
490,S1ACBE19,43436.75139,43437.27153
491,S1ACBE19,43440.71528,43440.75833
492,S1ACBE19,43440.71806,43440.85486
493,S1ACBE19,43441.35903,43441.76528
494,S1ACBE19,43441.76597,43446.70625
495,S1ACBE19,43443.525,43444.61319
496,S1ACBE19,43446.71944,43447.57222
497,S1ACBE19,43447.57222,43452.69931
498,S1ACBE19,43457.65486,43458.25625
499,S1ACBE19,43458.42639,43458.47708
500,S1ACBE19,43458.47708,43458.56319
501,S1ACBE19,43460.43056,43462.39722
502,S1ACBE19,43461.69028,43465.62431
503,S1ACBE19,43465.76528,43466.58889
504,S1ACBE20,43437.43194,43437.52083
505,S1ACBE20,43454.1,43454.72361
506,S1ACBE20,43460.70417,43460.92222
507,S1ACBE20,43462.73333,43463.43403
508,S1ACBE20,43462.74514,43462.85208
509,S1ACBE20,43463.43403,43463.7
510,S1ACBE20,43464.5,43464.59514
511,S1ACBE20,43465.58125,43465.625
512,S1ACBE20,43465.625,43466.54931
513,S1ACBE26,43440.78333,43441.47292
514,S1ACBE26,43441.64514,43441.71944
515,S1ACBE26,43446.66389,43455.69722
516,S1ACBE26,43455.63819,43455.69722
517,S1ACBE26,43456.37778,43456.44375
518,S1ACBE26,43456.55764,43456.60972
519,S1ACBE46,43435.75903,43435.83125
520,S1ACBE46,43438.16111,43438.23333
521,S1ACBE46,43439.0625,43439.12292
522,S1ACBE46,43440.04306,43440.2375
523,S1ACBE46,43440.70764,43440.76875
524,S1ACBE46,43443.75278,43443.8
525,S1ACBE46,43443.80625,43443.89722
526,S1ACBE46,43445.10556,43445.18958
527,S1ACBE46,43446.16042,43446.25903
528,S1ACBE46,43448.05972,43448.24167
529,S1ACBE46,43448.25625,43448.47708
530,S1ACBE46,43449.24792,43449.32361
531,S1ACBE46,43449.72222,43449.77153
532,S1ACBE46,43452.03611,43452.09514
533,S1ACBE46,43454.23472,43454.28194
534,S1ACBE46,43454.54861,43455.41597
535,S1ACBE46,43455.15625,43455.25625
536,S1ACBE46,43455.26389,43455.34583
537,S1ACBE46,43456.04375,43456.09514
538,S1ACBE46,43456.10278,43456.225
539,S1ACBE46,43456.66806,43456.74167
540,S1ACBE46,43457.01181,43457.14375
541,S1ACBE46,43458.03681,43458.13056
542,S1ACBE46,43458.53542,43458.6
543,S1ACBE46,43458.71111,43458.75347
544,S1ACBE46,43459.16875,43459.22847
545,S1ACBE46,43459.33194,43459.38542
546,S1ACBE46,43460.11736,43460.17222
547,S1ACBE46,43460.96181,43461.00556
548,S1ACBE46,43462.17569,43462.33194
549,S1ACBE46,43462.72986,43462.79167
550,S1ACBE46,43463.23681,43463.32431
551,S1ACBE46,43464.1625,43464.30694
552,S1ACBE46,43465.00694,43465.21389
553,S1ACBE46,43465.50139,43465.55139
554,S1ACBE49,43440.58125,43440.85764
555,S1ACBE50,43439.69236,43441.60556
556,S1ACBE50,43444.48264,43444.55903
557,S1ACBE50,43446.45972,43446.52847
558,S1ACBE50,43448.48056,43448.56042
559,S1ACBE50,43448.97083,43449.35972
560,S1ACBE50,43453.825,43455.66528
561,S1ACBE50,43455.17917,43455.25833
562,S1ACBE50,43457.17986,43457.26319
563,S1ACBE50,43458.08819,43458.34306
564,S1ACBE50,43462.24792,43462.29653
565,S1ACBE50,43463.17153,43463.43125
566,S1ACBE50,43465.09583,43465.33958
567,S1ACBE56,43435.71875,43435.7625
568,S1ACBE56,43435.7625,43435.80972
569,S1ACBE56,43440.12083,43440.22292
570,S1ACBE56,43447.6125,43448.76875
571,S1ACBE56,43455.15694,43455.25694
572,S1ACBE56,43457.01181,43457.14306
573,S1ACBE56,43465.09583,43465.19931
574,S1ACBE63,43435.52917,43435.76597
575,S1ACBE63,43441.74792,43441.80347
576,S1ACBE63,43450.37569,43450.49722
577,S1ACBE63,43455.15694,43455.25625
578,S1ACBE63,43455.84236,43456.55069
579,S1ACBE63,43457.0125,43457.14306
580,S1ACBE63,43461.71458,43461.80486
581,S1ACBE63,43461.71458,43461.76875
582,S1ACBE63,43465.47847,43465.53056
583,S1ACBE63,43465.55486,43465.73611
584,S1ACBE64,43439.65694,43439.70694
585,S1ACBE66,43438.53611,43440.51458
586,S1ACBE66,43439.53264,43439.79722
587,S1ACBE67,43452.65625,43453.43819
588,S1ACBE67,43455.15694,43455.25764
589,S1ACBE67,43457.01181,43457.14236
590,S1ACBE79,43437.32639,43437.82014
591,S1ACBE81,43437.75625,43438.63403
592,S1ACBE81,43440.61806,43440.66528
593,S1ACBE81,43463.38958,43463.72917
594,S1ACBE82,43445.74306,43454.49097
595,S1ACBE84,43452.53125,43452.58611
596,S1ACBE84,43453.84444,43454.38681
597,S1ACBE86,43444.77778,43444.82014
598,S1ACBE86,43444.77847,43444.85903
599,S1ACBE86,43446.84306,43447.25208
600,S1ACBE86,43457.52361,43457.82014
601,S1ACBE86,43457.82014,43459.52222
602,S1ACBE86,43458.48611,43458.60972
603,S1ACBE86,43458.48611,43458.61042
604,S1ACBE86,43459.47292,43459.52153
605,S1ACBE89,43444.51736,43444.64028
606,S1ACBE89,43446.53542,43446.58194
607,S1ACBE89,43447.37222,43447.41875
608,S1ACBE89,43447.74097,43448.34931
609,S1ACBE89,43448.46667,43448.50903
610,S1ACBE89,43448.50903,43448.625
611,S1ACBE89,43448.62986,43449.30694
612,S1ACBE89,43452.68264,43453.32847
613,S1ACBE89,43453.33681,43453.41736
614,S1ACBE89,43453.42778,43453.51458
615,S1ACBE89,43453.53958,43453.59444
616,S1ACBE89,43453.59861,43453.64514
617,S1ACBE89,43454.49028,43454.65833
618,S1ACBE89,43454.66806,43454.72917
619,S1ACBE89,43454.76181,43454.84444
620,S1ACBE89,43454.87917,43455.28403
621,S1ACBE89,43455.3875,43455.43472
622,S1ACBE89,43455.44722,43455.6625
623,S1ACBE89,43455.56181,43455.61319
624,S1ACBE89,43455.6625,43455.75764
625,S1ACBE89,43458.54167,43458.63889
626,S1ACBE89,43464.02847,43464.35347
627,S1ACBE89,43464.44583,43464.74931
628,S1ACBE89,43464.78889,43464.87778
629,S1ACBE89,43465.11181,43465.18403
630,S1ACBE89,43465.18889,43465.23958
631,S1ACBE89,43465.26042,43465.33125
632,S1ACBE89,43465.33542,43465.38681
633,S1ACBE91,43438.69236,43438.79028
634,S1ACBE91,43445.20694,43445.56806
